Descrição,Preço antes,Preço atual,Link,Frete
Mercedes-benz Classe C C-200 Avantgarde 2.0 Tb 16v 184cv Aut.,124900 reais,124900 reais,https://carro.mercadolivre.com.br/MLB-3646064094-mercedes-benz-c-200-avantgarde-20-tb-16v-184cv-aut-gasol-_JM#position=1&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Honda Civic Civic Lxr 2.0 I-vtec (aut) (flex),78900 reais,78900 reais,https://carro.mercadolivre.com.br/MLB-3321995189-honda-civic-lxr-20-i-vtec-aut-flex-flex-automatico-_JM#position=2&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Fiat Palio Weekend 1.8 Hlx Flex 5p,25400 reais,25400 reais,https://carro.mercadolivre.com.br/MLB-3317558095-fiat-palio-18-mpi-hlx-weekend-8v-_JM#position=3&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Jeep Compass 1.3 T270 Turbo Flex Longitude At6,154250 reais,154250 reais,https://carro.mercadolivre.com.br/MLB-3315433873-jeep-compass-13-t270-turbo-flex-longitude-at6-_JM#position=4&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Jeep Renegade 1.3 T270 Turbo Flex S 4x4 At9,159490 reais,159490 reais,https://carro.mercadolivre.com.br/MLB-3617499052-jeep-renegade-13-t270-turbo-flex-s-4x4-at9-_JM#position=5&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Ford Ka 1.0 Se Flex 4p,47500 reais,47500 reais,https://carro.mercadolivre.com.br/MLB-3604630852-ford-ka-10-se-12v-_JM#position=6&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Kia Picanto Picanto Ex 1.1/1.0/ 1.0 Flex Aut.,42990 reais,42990 reais,https://carro.mercadolivre.com.br/MLB-3598707152-kia-picanto-picanto-ex-1110-10-flex-aut-flex-automati-_JM#position=7&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Ford Fiesta 1.5 S Flex 5p,41990 reais,41990 reais,https://carro.mercadolivre.com.br/MLB-3571589226-ford-fiesta-2014-15-s-flex-5p-_JM#position=8&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Volkswagen Polo Polo Comfort. 200 Tsi 1.0 Flex 12v Aut.,76990 reais,76990 reais,https://carro.mercadolivre.com.br/MLB-3550750348-volkswagen-polo-polo-comfort-200-tsi-10-flex-12v-aut-fle-_JM#position=9&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Renault Sandero Stepway 1.6 Hi-power 5p,48990 reais,48990 reais,https://carro.mercadolivre.com.br/MLB-3300639735-renault-sandero-16-stepway-8v-_JM#position=10&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Volkswagen Fox Fox Connect 1.6 Flex 8v 5p,64900 reais,64900 reais,https://carro.mercadolivre.com.br/MLB-3531589432-fox-connect-16-flex-2020-oportunidade-unica-_JM#position=11&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Nissan Kicks 1.6 16v Sv Aut. 5p,89990 reais,89990 reais,https://carro.mercadolivre.com.br/MLB-3298441589-nissan-kicks-16-16vstart-sv-_JM#position=12&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Peugeot 3008 3008 Griffe 1.6 Turbo 16v 5p Aut.,139990 reais,139990 reais,https://carro.mercadolivre.com.br/MLB-3295564025-peugeot-3008-griffe-16-turbo-16v-5p-aut-gasolina-automat-_JM#position=13&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Volkswagen Polo 1.0 Tsi Highline 200 Aut. 5p,77890 reais,77890 reais,https://carro.mercadolivre.com.br/MLB-3315192557-volkswagen-polo-vw-polo-highline-tsi-10-2019-top-abaixo-da-_JM#position=14&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Toyota Corolla 2.0 16v Xrs Flex Aut. 4p,66890 reais,66890 reais,https://carro.mercadolivre.com.br/MLB-3617123004-toyota-corolla-20-xrs-16v-_JM#position=15&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Mercedes-benz Classe Gla 1.6 Advance Turbo Flex 5p,139890 reais,139890 reais,https://carro.mercadolivre.com.br/MLB-3617022610-mercedes-benz-gla-200-16-cgi-enduro-16v-turbo-_JM#position=16&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Fiat Palio 1.0 Fire Flex 3p,29290 reais,29290 reais,https://carro.mercadolivre.com.br/MLB-3455962110-fiat-palio-10-mpi-fire-8v-_JM#position=17&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Kia Picanto Picanto Ex 1.1/1.0/ 1.0 Flex Mec.,38990 reais,38990 reais,https://carro.mercadolivre.com.br/MLB-3278371377-kia-picanto-picanto-ex-1110-10-flex-mec-flex-manual-_JM#position=18&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Renault Duster 1.6 16v Expression Sce 5p,68600 reais,68600 reais,https://carro.mercadolivre.com.br/MLB-2969433553-renault-duster-16-16v-sce-expression-_JM#position=19&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Chevrolet Prisma 1.4 Lt 4p,58887 reais,58887 reais,https://carro.mercadolivre.com.br/MLB-3298764179-chevrolet-prisma-14-mpfi-lt-8v-2019-abaixo-fipe-0-d-entrada-_JM#position=20&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Volkswagen Jetta 2.5 I Variant 20v 170cv,45900 reais,45900 reais,https://carro.mercadolivre.com.br/MLB-3533373656-volkswagen-jetta-25-i-variant-20v-170cv-2011-_JM#position=21&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Fiat Mobi 1.0 8v Evo Like.,44900 reais,44900 reais,https://carro.mercadolivre.com.br/MLB-3229326763-fiat-mobi-10-8v-evo-like-_JM#position=22&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Mitsubishi Lancer Lancer Hl-t 2.0 16v 160cv Aut.,78790 reais,78790 reais,https://carro.mercadolivre.com.br/MLB-3632639830-lancer-hl-t-20-160cv-gasolina-automatico-azul-completo--_JM#position=23&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Jeep Renegade 1.3 T270 Turbo Flex Sport At6,112340 reais,112340 reais,https://carro.mercadolivre.com.br/MLB-3617486138-jeep-renegade-13-t270-turbo-flex-sport-at6-_JM#position=24&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Ford Focus Focus Hatch Glx 1.6 8v (flex),33890 reais,33890 reais,https://carro.mercadolivre.com.br/MLB-3306596079-ford-focus-hatch-glx-16-8v-flex-flex-manual-2011-_JM#position=25&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Fiat Mobi Mobi Like 1.0 Fire Flex 5p,44990 reais,44990 reais,https://carro.mercadolivre.com.br/MLB-3294221207-fiat-mobi-like-10-fire-flex-5p-flex-manual-_JM#position=26&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Renault Kwid Kwid Zen 1.0 Flex 12v 5p Mec.,44990 reais,44990 reais,https://carro.mercadolivre.com.br/MLB-3505262192-renault-kwid-zen-10-flex-12v-5p-mec-flex-manual-_JM#position=27&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Renault Sandero Sandero Expression 1.6 8v (flex),46900 reais,46900 reais,https://carro.mercadolivre.com.br/MLB-3263515113-renault-sandero-flex-manual-_JM#position=28&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Nissan March March 1.0 12v S (flex),49900 reais,49900 reais,https://carro.mercadolivre.com.br/MLB-3125547408-nissan-march-10-completo-12v-sv-2019-flex-manual-_JM#position=29&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Fiat Palio Palio 1.0 Economy Fire Flex 8v 2p,19900 reais,19900 reais,https://carro.mercadolivre.com.br/MLB-3620667882-fiat-palio-palio-10-economy-fire-flex-8v-2p-flex-manual-_JM#position=30&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Jeep Renegade 1.3 T270 Turbo Flex Sport At6,117380 reais,117380 reais,https://carro.mercadolivre.com.br/MLB-3315392839-jeep-renegade-13-t270-turbo-flex-sport-at6-_JM#position=31&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Fiat Bravo 1.8 16v Essence Flex Dualogic 5p,36890 reais,36890 reais,https://carro.mercadolivre.com.br/MLB-3315192367-fiat-bravo-fiat-bravo-essence-18-flex-2013-impecavel-_JM#position=32&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Mitsubishi Asx Asx 2.0 4x2 16v Gasolina 4p Automático,61800 reais,61800 reais,https://carro.mercadolivre.com.br/MLB-3454906192-asx-20-4x2-16v-gasolina-4p-automatico-_JM#position=33&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Hyundai Ix35 2.0 Gls 2wd Flex Aut. 5p,112888 reais,112888 reais,https://carro.mercadolivre.com.br/MLB-3276408229-hyundai-ix35-20-mpfi-gls-16v-2017-teto-solar-topo-de-linha-_JM#position=34&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Mitsubishi Lancer Lancer Hl-t 2.0 16v 160cv Aut.,64590 reais,64590 reais,https://carro.mercadolivre.com.br/MLB-3658109872-lancer-hl-t-20-160cv-automatico-completo-2018-prata-lindo-_JM#position=35&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Renault Duster Duster 2.0 16v Dynamique (aut) (flex),55990 reais,55990 reais,https://carro.mercadolivre.com.br/MLB-3627902252-renault-duster-flex-automatico-_JM#position=36&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Jeep Renegade 1.3 T270 Turbo Sport,116890 reais,116890 reais,https://carro.mercadolivre.com.br/MLB-3229234259-jeep-renegade-13-t270-turbo-sport-_JM#position=37&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Honda City City 1.5 Lx 16v Flex 4p Automático,84900 reais,84900 reais,https://carro.mercadolivre.com.br/MLB-3638773176-city-15-lx-4p-automatico-2019-_JM#position=38&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Jeep Compass 1.3 T270 Turbo Flex Sport At6,158890 reais,158890 reais,https://carro.mercadolivre.com.br/MLB-3315439579-jeep-compass-13-t270-turbo-flex-sport-at6-_JM#position=39&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Jeep Renegade 1.3 T270 Turbo Flex Longitude At6,131350 reais,131350 reais,https://carro.mercadolivre.com.br/MLB-3315418593-jeep-renegade-13-t270-turbo-flex-longitude-at6-_JM#position=40&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Ford Fiesta Fiesta 1.6 8v Flex/class 1.6 8v Flex 5p,29990 reais,29990 reais,https://carro.mercadolivre.com.br/MLB-3505288532-ford-fiesta-fiesta-16-8v-flexclass-16-8v-flex-5p-flex-ma-_JM#position=41&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Chevrolet Onix 1.4 Ltz 5p,61890 reais,61890 reais,https://carro.mercadolivre.com.br/MLB-3616984102-chevrolet-onix-gm-onix-ltz-14-flex-2017-top-de-linha-unico-_JM#position=42&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Honda Civic 2.0 16v Ex,103499 reais,103499 reais,https://carro.mercadolivre.com.br/MLB-3278858769-honda-civic-20-16v-ex-_JM#position=43&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Volkswagen Fusca Fusca 1500,29890 reais,29890 reais,https://carro.mercadolivre.com.br/MLB-3277227531-volkswagen-fusca-1500-gasolina-manual-_JM#position=44&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Ford Ka Ka 1.0 Flex,24900 reais,24900 reais,https://carro.mercadolivre.com.br/MLB-3125428983-ford-ka-10-flex-2011-basico-manual-_JM#position=45&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Bmw X1 X1 2.0 Sdrive20i (aut),79870 reais,79870 reais,https://carro.mercadolivre.com.br/MLB-3297985177-bmw-x1-20-sdrive20i-aut-gasolina-automatico-_JM#position=46&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Hyundai Tucson Tucson Gls 1.6 Turbo 16v Aut.,156990 reais,156990 reais,https://carro.mercadolivre.com.br/MLB-2651800311-tucson-16-aut-2020-_JM#position=47&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Honda Hr-v Hr-v 1.8 16v Flex Lx 4p Automático,113900 reais,113900 reais,https://carro.mercadolivre.com.br/MLB-3325970223-hr-v-18-lx-automatico-2020-_JM#position=48&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
